Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
VIRONGY L.L.C.,079796643,MANASSAS,VA,20109,PRINCE WILLIAM,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$216,675"
NEW ECHOTA BIOTECHNOLOGY,079216015,MARIETTA,GA,300641409,COBB,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$449,917"
FRONT STREET HEALTH CENTER,079230217,JUNEAU,AK,998011244,JUNEAU,United States of America,Health Department,Non-Profit Private Non-Government Organizations,"$703,746"
NIROGYONE THERAPEUTICS LLC,079317865,NORTHBOROUGH,MA,01532,WORCESTER,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,937,680"
GENTEGRA LLC,079238642,PLEASANTON,CA,945664793,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,662,766"
"BREVITEST TECHNOLOGIES, LLC",079204766,HOUSTON,TX,770275175,HARRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,205,491"
SUTROVAX INC,079238538,SOUTH SAN FRANCISCO,CA,94080,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$196,063"
SPEAK MODALITIES LLC,079162862,WEST LAFAYETTE,IN,47906,TIPPECANOE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$152,599"
"AVAILS MEDICAL, INC.",079332405,PALO ALTO,CA,943012130,SANTA CLARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$225,000"
"RESOURCEPATH, LLC",031013926,STERLING,VA,20166,LOUDOUN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,021,080"
"INNOVIMMUNE BIOTHERAPEUTICS HOLDING, LLC",079560268,BROOKLYN,NY,112261508,KINGS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,987,701"
Public Policy Associates Inc,782597009,LANSING,MI,489121231,INGHAM,United States of America,Other Special Interest Organization,State Government,"$584,480"
NATUREMIRI LLC,080193369,IOWA CITY,IA,52244,JOHNSON,United States of America,Welfare Department,State Government,"$225,000"
"OREGON RESEARCH BEHAVIORAL INTERVENTION STRATEGIES, INC",079250784,EUGENE,OR,974032536,LANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$13,009,789"
"MOLECULAR ASSEMBLIES, INC.",078770578,SAN DIEGO,CA,92124,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$189,004"
DRI BIOSCIENCES CORP,079330710,FREDERICK,MD,217037400,FREDERICK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$725,283"
LEFLORE TECHNOLOGIES LLC,079230443,JACKSON,MS,392113066,HINDS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$216,429"
ONE COMMUNITY ONE FAMILY INC,055219519,BATESVILLE,IN,470061249,RIPLEY,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$400,000"
RUSH RIVER RESEARCH CORPORATION,079244469,ELLSWORTH,WI,540115807,PIERCE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,193,734"
"ASYMMETREX, LLC",927397039,BOSTON,MA,021301822,SUFFOLK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$420,000"
VITALQUAN LIMITED LIABILITY COMPANY,029602579,DALLAS,TX,752257630,DALLAS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,172,285"
"TANGEN BIOSCIENCES, INC.",079338387,BRANFORD,CT,06405,NEW HAVEN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$289,915"
COLORADO RESEARCH PARTNERS LLC,079250173,CENTENNIAL,CO,800164718,ARAPAHOE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,002,871"
PATAGONIA PHARMACEUTICALS LLC,037873324,WOODCLIFF LAKE,NJ,076777682,BERGEN,United States of America,Other Health Organization,Private Profit ( Small Business ) Organizations,"$224,469"
FLYSORTER LLC,079514814,SEATTLE,WA,98107,KING,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$571,510"
LONG BEACH COALITION TO PREVENT UNDERAGE DRINKING INC.,079354488,LONG BEACH,NY,115612019,NASSAU,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$438,580"
MICRO ANALYSIS INTEGRATION LLC,079573107,THOUSAND OAKS,CA,91362,VENTURA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$147,247"
"FLOW FORWARD MEDICAL, INC.",079290770,OLATHE,KS,660611300,JOHNSON,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$449,940"
AZITRA INC.,079266596,NEW HAVEN,CT,06511,NEW HAVEN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$375,000"
"METACTIVE MEDICAL, INC.",079301767,OLATHE,KS,660611306,JOHNSON,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,949,372"
DIGNIFY THERAPEUTICS LLC,078876449,RTP,NC,277090003,DURHAM,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$12,679,713"
POWERTECH WATER LLC,079388085,LEXINGTON,KY,40509,FAYETTE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$150,270"
MOFA GROUP LLC,079284590,VERONA,WI,53593,DANE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,-$1
A2 THERAPEUTICS INC.,079252333,HOUSTON,TX,770303411,HARRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$222,472"
INFONDRIAN LLC,079272783,CORALVILLE,IA,52241,JOHNSON,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,017,905"
"ARCH INNOTEK, LLC",079306685,SAINT LOUIS,MO,631082979,ST. LOUIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$281,729"
"Neuromotion, Inc.",079597455,Boston,MA,021141722,SUFFOLK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$736,923"
"LET`S TALK SAFETY, INC.",079721717,NEW YORK,NY,100167322,NEW YORK,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$1,014,290"
"TFC BIOSCIENCES, INC.",079742887,NORWOOD,MA,020625246,NORFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,051,919"
"JT PHARMACEUTICALS, INC.",079317899,MOUNT PLEASANT,SC,294645641,CHARLESTON,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$5,868,677"
HYDRO-GEN LLC,079266597,HIGHLAND LAKES,NJ,074222124,SUSSEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,705,828"
VISIONIZE LLC,080185298,BERKELEY,CA,947071732,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,461,594"
ONL THERAPEUTICS INC,079474777,ANN ARBOR,MI,48109,WASHTENAW,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,148,367"
"PLATELET BIOGENESIS, INC.",079280423,CHESTNUT HILL,MA,024673641,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,126,751"
HEALTHCHART LLC,078540485,MEMPHIS,TN,381034904,SHELBY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$299,397"
"PARADIGM SHIFT THERAPEUTICS, LLC",079267547,ROCKVILLE,MD,208504146,MONTGOMERY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$263,583"
PROSPECT CHARTERCARE RWMC LLC,079472539,LOS ANGELES,CA,90026,LOS ANGELES,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,765,257"
Alcorix Co.,091411007,Plainfield,IL,605446098,WILL,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$223,856"
"REVOLVE BIOTECHNOLOGIES, INC.",079540413,BALTIMORE,MD,212112840,**BALTIMORE CITY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$448,212"
"ORPHI THERAPEUTICS, INC",079282115,CARLSBAD,CA,920087216,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,773,209"
Health Security Partners,079268866,WASHINGTON,DC,200095728,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$4,822,202"
"ARC BIO, LLC",079354025,CAMBRIDGE,MA,02139,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,470,695"
"MOLECULAR THERANOSTICS, LLC",079282660,BEACHWOOD,OH,441221765,CUYAHOGA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,327,544"
TYPEZERO TECHNOLOGIES LLC,079282671,CHARLOTTESVILLE,VA,22902,**CHARLOTTESVILLE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
"Ride Roundtrip, Inc.",080387481,Philadelphia,PA,191063827,PHILADELPHIA,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$252,131"
AYUVIS RESEARCH LIMITED,079277952,EULESS,TX,76039,DALLAS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$273,826"
"BIOFIRE DIAGNOSTICS, LLC",079280262,SALT LAKE CITY,UT,841081214,SALT LAKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,358,259"
UNIVERSITY OF OREGON,079289626,EUGENE,OR,97403,LANE,United States of America,"Junior College, College & University",State Government,"$216,876,055"
UNIVERSITY OF OREGON,948117312,EUGENE,OR,97403,LANE,United States of America,"Junior College, College & University",State Government,"$2,963,435"
"CHIMERA BIOTECHNOLOGY, INC.",079293108,SAN JUAN CAPISTRANO,CA,926755558,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$451,300"
"Vivalnk, Inc.",013311479,CAMPBELL,CA,950082077,SANTA CLARA,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$299,814"
"OPIANT PHARMACEUTICALS, INC.",079253495,SANTA MONICA,CA,90401,LOS ANGELES,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$5,586,992"
PHELIX THERAPEUTICS LLC,079291041,PHILADELPHIA,PA,19103,PHILADELPHIA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$5,494,287"
SERIMMUNE INC.,079520932,SANTA BARBARA,CA,93111,SANTA BARBARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,928,573"
KIROMIC INC,198099728,LUBBOCK,TX,794073742,LUBBOCK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,151,350"
ARKANSAS HEALTH INSURANCE MARKETPLACE,079455774,LITTLE ROCK,AR,722075234,PULASKI,United States of America,Other Health Organization,Non-Profit Public Non-Government Organizations,"$20,660,894"
"CAPILLARY BIOMEDICAL, INC.",079280634,IRVINE,CA,926145435,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,018,977"
"RESTFUL JAW COMPANY, LLC, THE",065218902,SAINT PAUL,MN,551081322,RAMSEY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,593,555"
"PROTERIS BIOTECH, INC.",079290197,PASADENA,CA,911031932,LOS ANGELES,United States of America,Planning & Administrative Organizations,Private Profit ( Small Business ) Organizations,"$279,800"
EPPIN PHARMA INC,079308366,CHAPEL HILL,NC,275149611,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,282,621"
"AVERY THERAPEUTICS, INC",079299809,TUCSON,AZ,857429650,PIMA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$783,958"
BASE5 BIOSCIENCES INC,079330386,NEW YORK,NY,10021,NEW YORK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$192,702"
O2 REGENTECH LLC,079300192,AKRON,OH,443111051,SUMMIT,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$224,977"
NOVORON BIOSCIENCE INC.,078781043,SAN DIEGO,CA,921221937,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,195,761"
"HEALTH COMMUNICATION IMPACT, LLC",079294635,SAINT LOUIS,MO,631121529,ST. LOUIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$963,691"
"EMULATE, INC.",079502247,BOSTON,MA,022102382,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,356,510"
PROHIBIX LLC,079301959,PHILADELPHIA,PA,191042853,PHILADELPHIA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,200,672"
WORK LIFE HELP LLC,079165990,WILLIAMSBURG,MI,496909673,GRAND TRAVERSE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$201,333"
"PHI THERAPEUTICS, INC.",079305076,SAN FRANCISCO,CA,94117,SAN FRANCISCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$164,724"
CONVERGE DAY TREATMENT CENTER,079574258,FORT MORGAN,CO,80701,MORGAN,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$196,639"
YOUTH & FAMILY PEER SUPPORT ALLIANCE,079675660,URBANA,IL,618024578,CHAMPAIGN,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$465,264"
"PRETEL, INC.",079857039,PORTLAND,OR,972258100,WASCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$352,257"
CENTER FOR PROGRESSIVE RECOVERY LLC,069509053,NEW HAVEN,CT,065101807,NEW HAVEN,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$251,500"
"ANCURE, LLC",079298542,PITTSBURGH,PA,152133815,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,411,751"
ENVIROMETRIX INSTRUMENTS LLC,079308863,BERKELEY,CA,947051742,ALAMEDA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$225,000"
HUMAN CELL CO,036640349,NAPERVILLE,IL,605406685,DU PAGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$599,380"
OMEGA BIOSYSTEMS INCORPORATED,079309785,LOS ANGELES,CA,900644514,LOS ANGELES,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$566,487"
OPSIDIO LLC,080157029,BRYN MAWR,PA,190103607,DELAWARE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$217,446"
SAFE COALITION FOR HUMAN RIGHTS (SAFECHR),079786033,MUNSTER,IN,46321,DECATUR,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$374,193"
"RTM VITAL SIGNS, LLC",079741722,FORT WASHINGTON,PA,190343010,MONTGOMERY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$236,381"
"PAPGENE, INC.",079670802,BALTIMORE,MD,21211,**BALTIMORE CITY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,197,414"
BIOPICO SYSTEMS INC.,801391363,IRVINE,CA,926183988,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,148,540"
RECOVERY RECORD RESEARCH,079319303,PALO ALTO,CA,94304,SANTA CLARA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,126,054"
"ARTICULATE BIOMEDICAL, LLC",079332293,ITHACA,NY,148505714,TOMPKINS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$214,993"
NOTA LABORATORIES LLC,079462939,ANN ARBOR,MI,48104,WASHTENAW,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,662,558"
"HABICO, INC.",079324692,ROCHESTER,NY,14610,MONROE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$299,997"
AQUINNAH PHARMACEUTICALS INC,079366657,CAMBRIDGE,MA,02139,MIDDLESEX,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$5,972,660"
PATH BIOANALYTICS INC,079370190,CHAPEL HILL,NC,27514,ORANGE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,925,387"
"Entvantage Diagnostics, Inc",080160832,Austin,TX,787563433,TRAVIS,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$762,667"
PRECYTE INC,079209633,PALO ALTO,CA,943012223,LAKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$7,086,728"
"OKLAHOMA NATIVE ASSETS COALITION, INC",079731561,OKC,OK,731627504,OKLAHOMA,United States of America,Welfare Department,State Government,"$295,519"
MYCOMED TECHNOLOGIES,079332340,OAKTON,VA,22124,ALLEGHANY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,082,410"
Ulu Ae Learning Center,079333559,Kapolei,HI,96707,HONOLULU,United States of America,Financial Institution,Non-Profit Public Non-Government Organizations,"$179,691"
ARKANSAS COLLEGES OF HEALTH EDUCATION,082338461,FORT SMITH,AR,729170366,SEBASTIAN,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$323,628"
TRI-STATE COMMUNITY HEALTH CENTER,079464067,MEMPHIS,TN,38118,SHELBY,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$8,085,543"
DFUSION,079336099,SCOTTS VALLEY,CA,950664200,SANTA CRUZ,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$6,978,487"
"PRECISION MEMBRANES, LLC",079403082,PROVO,UT,846045121,UTAH,United States of America,Educational Department,Non-Profit Private Non-Government Organizations,"$224,925"
RGENE INC,079341938,SAN FRANCISCO,CA,94107,SAN FRANCISCO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$716,006"
"RIPTIDE BIOSCIENCE, INC.",079146294,VALLEJO,CA,945921016,SOLANO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$502,215"
"SYNPHAGEN, LLC.",079552376,GAITHERSBURG,MD,208784916,MONTGOMERY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$289,826"
SAINT JAMES HEALTH INC,079475106,NEWARK,NJ,071054802,ESSEX,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$7,582,998"
"STEMETIX, INC.",079556431,NEEDHAM,MA,024941132,NORFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,579,365"
COASTAL COMMUNITIES DRUG-FREE COALITION,079736548,SAN DIEGO,CA,921093746,SAN DIEGO,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$625,000"
"A`AS, INC",079352545,NORRISTOWN,PA,194033954,MONTGOMERY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$224,835"
STEP UP OF ST. LOUIS,080154251,ST. LOUIS,MO,63128,ST. LOUIS,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$500,000"
"UNIVERSITY OF TEXAS RIO GRANDE VALLEY (UTRGV), THE",069444511,EDINBURG,TX,785392909,HIDALGO,United States of America,"Junior College, College & University",State Government,"$78,001,181"
"UNIVERSITY OF TEXAS RIO GRANDE VALLEY (UTRGV), THE",800187965,EDINBURG,TX,785392909,HIDALGO,United States of America,"Junior College, College & University",State Government,"$314,854"
"CHATMAN, LLC",078793111,LAUREL,MD,207078432,PRINCE GEORGE'S,United States of America,Other Special Interest Organization,Private Profit ( Small Business ) Organizations,"$978,192"
VERISKIN LLC,079461072,SAN DIEGO,CA,921301337,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$455,835"
KOLIBER BIOSCIENCES INC.,079354693,SAN DIEGO,CA,921214152,SAN DIEGO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$224,999"
"Powder River First Responders, LTD.",080108569,Broadus,MT,59317,POWDER RIVER,United States of America,Other Special Interest Organization,Non-Profit Private Non-Government Organizations,"$173,087"
"PANHANDLE COUNSELING AND HEALTH CENTER, INC.",079465512,GUYMON,OK,73942,TEXAS,United States of America,Hospital,Non-Profit Private Non-Government Organizations,"$6,125,955"
URSUS MEDICAL LLC,079617248,PITTSBURGH,PA,15239,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$341,520"
VIGILANT DIAGNOSTICS LLC,079812159,SAINT PAUL,MN,551145003,RAMSEY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$300,939"
"SAB BIOTHERAPEUTICS, INC.",079363713,SIOUX FALLS,SD,571040569,MINNEHAHA,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$3,044,267"
LYNTHERA CORPORATION,079638249,LANCASTER,PA,176011292,LANCASTER,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,933,706"
"NOVUSON SURGICAL, INC.",079456722,BOTHELL,WA,98011,KING,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,971,009"
NEURODON LLC,080805275,SAINT JOHN,IN,463739039,LAKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,213,940"
7 HILLS PHARMA LLC,079364082,HOUSTON,TX,770302108,HARRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,774,683"
"IDENTIFYGENOMICS, LLC",079714048,MENLO PARK,CA,940251449,SAN MATEO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,$0
TRIBAL NATIONS RESEARCH GROUP,079493415,Belcourt,ND,58316,ROLETTE,United States of America,Other Special Interest Organization,Non-Profit Public Non-Government Organizations,"$137,579"
"Wilderness Health, Inc.",079506180,TWO HARBORS,MN,556161300,,United States of America,Other Health Organization,Non-Profit Private Non-Government Organizations,"$269,215"
"ADVENT THERAPEUTICS, INC.",080583199,LUMBERVILLE,PA,189339729,BUCKS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$1,548,955"
"ENVISAGENICS, INC.",079493898,HUNTINGTON,NY,117436941,SUFFOLK,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,151,502"
NEBRASKA EARLY CHILDHOOD COLLABORATIVE,079358911,OMAHA,NE,681313302,DOUGLAS,United States of America,Other Special Interest Organization,Private Profit ( Large Business ) Organizations,"$23,851,694"
DOPHEN BIOMED INC,079392186,SACRAMENTO,CA,95834,SACRAMENTO,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$149,625"
FUNCTIONAL FLUIDICS LLC,079480374,Detroit,MI,48202,WAYNE,United States of America,Other Special Interest Organization,Private Profit ( Large Business ) Organizations,"$392,599"
KANEHUNAMOKU VOYAGING ACADEMY,079416115,KANEOHE,HI,967445084,HONOLULU,United States of America,Indian Tribal Council,"Other (Towns, Villages, American Indian Tribes)","$884,853"
APOLLODX LLC,079402408,SALT LAKE CITY,UT,84103,SALT LAKE,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$225,000"
HEALTH RHYTHMS INC,079901181,CAMBRIDGE,MA,02142,,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,429,076"
"CELLF-BIO, LLC",079407582,WINSTON SALEM,NC,27104,FORSYTH,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$4,077,496"
"MOSAIX SOFTWARE, INC.",079478543,PITTSBURGH,PA,152382927,ALLEGHENY,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,286,949"
"LUMINOSTICS, INC.",079394814,HOUSTON,TX,770562325,HARRIS,United States of America,"Supplier Organizations ( Service, Supplies, Material and Equipment )",Private Profit ( Small Business ) Organizations,"$2,670,173"
